Timestamp,Source_File,Line_Number,Entity_Type,Extracted_Value,Context_Snippet
2026-09-12 00:25:13,auth_security_events.log,1,Email,dev.ops@kubernetes-cluster.dev,...13064-69. Alert dispatched to dev.ops@kubernetes-cluster.dev
2026-09-12 00:25:13,auth_security_events.log,1,Transaction ID,TRX-313064-69,...dlock detected on transaction TRX-313064-69. Alert dispatched to dev.ops@...
2026-09-12 00:25:13,auth_security_events.log,1,Timestamp / Date,2026-09-12 00:25:13,[2026-09-12 00:25:13] [CRITICAL] Database deadlock...
2026-09-12 00:25:13,auth_security_events.log,1,Log Level,CRITICAL,[2026-09-12 00:25:13] [CRITICAL] Database deadlock detected o...
2026-09-12 00:25:13,auth_security_events.log,2,Email,security-alert@auth0-monitor.com,...ice ORD-461658-79 for client 'security-alert@auth0-monitor.com'. Endpoint: https://cdn.asset...
2026-09-12 00:25:13,auth_security_events.log,2,Transaction ID,ORD-461658-79,...eout while processing invoice ORD-461658-79 for client 'security-alert@au...
2026-09-12 00:25:13,auth_security_events.log,2,Timestamp / Date,2026-09-12 00:25:13,[2026-09-12 00:25:13] [ERROR] Gateway timeout whil...
2026-09-12 00:25:13,auth_security_events.log,2,Log Level,ERROR,[2026-09-12 00:25:13] [ERROR] Gateway timeout while proces...
2026-09-12 00:25:13,auth_security_events.log,2,URL / Endpoint,https://cdn.assets.org/images/logo.png,...auth0-monitor.com'. Endpoint: https://cdn.assets.org/images/logo.png
2026-09-12 00:25:13,auth_security_events.log,3,Email,alex.smith@enterprise.co.uk,...52681-61. Alert dispatched to alex.smith@enterprise.co.uk
2026-09-12 00:25:13,auth_security_events.log,3,Transaction ID,TXN-552681-61,...dlock detected on transaction TXN-552681-61. Alert dispatched to alex.smi...
2026-09-12 00:25:13,auth_security_events.log,3,Timestamp / Date,2026-09-12 00:25:13,[2026-09-12 00:25:13] [CRITICAL] Database deadlock...
2026-09-12 00:25:13,auth_security_events.log,3,Log Level,CRITICAL,[2026-09-12 00:25:13] [CRITICAL] Database deadlock detected o...
2026-09-12 00:25:13,auth_security_events.log,4,Email,sarah_connor@techcorp.internal,...-09-12 00:25:13] [ERROR] User sarah_connor@techcorp.internal requested password reset from...
2026-09-12 00:25:13,auth_security_events.log,4,IPv4 Address,127.0.0.1,...requested password reset from 127.0.0.1. Audit Phone: +1-664-222-6005
2026-09-12 00:25:13,auth_security_events.log,4,Timestamp / Date,2026-09-12 00:25:13,[2026-09-12 00:25:13] [ERROR] User sarah_connor@te...
2026-09-12 00:25:13,auth_security_events.log,4,Log Level,ERROR,[2026-09-12 00:25:13] [ERROR] User sarah_connor@techcorp.i...
2026-09-12 00:25:13,auth_security_events.log,4,Phone Number,1-664-222-6005,...from 127.0.0.1. Audit Phone: +1-664-222-6005
2026-09-12 00:25:13,auth_security_events.log,5,Email,security-alert@auth0-monitor.com,...6-09-12 00:25:13] [WARN] User security-alert@auth0-monitor.com requested password reset from...
2026-09-12 00:25:13,auth_security_events.log,5,IPv4 Address,198.51.100.42,...requested password reset from 198.51.100.42. Audit Phone: +1-602-372-2676
2026-09-12 00:25:13,auth_security_events.log,5,Timestamp / Date,2026-09-12 00:25:13,[2026-09-12 00:25:13] [WARN] User security-alert@a...
2026-09-12 00:25:13,auth_security_events.log,5,Log Level,WARN,[2026-09-12 00:25:13] [WARN] User security-alert@auth0-mo...
2026-09-12 00:25:13,auth_security_events.log,5,Phone Number,1-602-372-2676,... 198.51.100.42. Audit Phone: +1-602-372-2676
2026-09-12 00:25:13,auth_security_events.log,6,Email,security-alert@auth0-monitor.com,"...687-63, Total=$2871.69, Buyer=security-alert@auth0-monitor.com, SourceIP=127.0.0.1"
2026-09-12 00:25:13,auth_security_events.log,6,Transaction ID,REF-422687-63,"...] Order checkout verified: ID=REF-422687-63, Total=$2871.69, Buyer=securi..."
2026-09-12 00:25:13,auth_security_events.log,6,IPv4 Address,127.0.0.1,"...t@auth0-monitor.com, SourceIP=127.0.0.1"
2026-09-12 00:25:13,auth_security_events.log,6,Timestamp / Date,2026-09-12 00:25:13,[2026-09-12 00:25:13] [DEBUG] Order checkout verif...
2026-09-12 00:25:13,auth_security_events.log,6,Log Level,DEBUG,[2026-09-12 00:25:13] [DEBUG] Order checkout verified: ID=...
2026-09-12 00:25:13,auth_security_events.log,7,Email,sarah_connor@techcorp.internal,...6-09-12 00:25:13] [INFO] User sarah_connor@techcorp.internal requested password reset from...
2026-09-12 00:25:13,auth_security_events.log,7,IPv4 Address,172.16.254.1,...requested password reset from 172.16.254.1. Audit Phone: +1-758-727-3287
2026-09-12 00:25:13,auth_security_events.log,7,Timestamp / Date,2026-09-12 00:25:13,[2026-09-12 00:25:13] [INFO] User sarah_connor@tec...
