Timestamp,Source_File,Line_Number,Entity_Type,Extracted_Value,Context_Snippet
2026-09-12 23:28:09,master_csv_sample.log,1,Email,billing@globalpay-gateway.io,...27893-32. Alert dispatched to billing@globalpay-gateway.io
2026-09-12 23:28:09,master_csv_sample.log,1,Transaction ID,PAY-427893-32,...dlock detected on transaction PAY-427893-32. Alert dispatched to billing@...
2026-09-12 23:28:09,master_csv_sample.log,1,Timestamp / Date,2026-09-12 23:28:09,[2026-09-12 23:28:09] [CRITICAL] Database deadlock...
2026-09-12 23:28:09,master_csv_sample.log,1,Log Level,CRITICAL,[2026-09-12 23:28:09] [CRITICAL] Database deadlock detected o...
2026-09-12 23:28:09,master_csv_sample.log,2,Email,support.desk@cloudservice.net,...ice INV-234000-68 for client 'support.desk@cloudservice.net'. Endpoint: https://cdn.asset...
2026-09-12 23:28:09,master_csv_sample.log,2,Transaction ID,INV-234000-68,...eout while processing invoice INV-234000-68 for client 'support.desk@clou...
2026-09-12 23:28:09,master_csv_sample.log,2,Timestamp / Date,2026-09-12 23:28:09,[2026-09-12 23:28:09] [ERROR] Gateway timeout whil...
2026-09-12 23:28:09,master_csv_sample.log,2,Log Level,ERROR,[2026-09-12 23:28:09] [ERROR] Gateway timeout while proces...
2026-09-12 23:28:09,master_csv_sample.log,2,URL / Endpoint,https://cdn.assets.org/images/logo.png,...@cloudservice.net'. Endpoint: https://cdn.assets.org/images/logo.png
2026-09-12 23:28:09,master_csv_sample.log,3,Email,sarah_connor@techcorp.internal,...9-12 23:28:09] [WARNING] User sarah_connor@techcorp.internal requested password reset from...
2026-09-12 23:28:09,master_csv_sample.log,3,IPv4 Address,198.51.100.42,...requested password reset from 198.51.100.42. Audit Phone: +1-534-726-6067
2026-09-12 23:28:09,master_csv_sample.log,3,Timestamp / Date,2026-09-12 23:28:09,[2026-09-12 23:28:09] [WARNING] User sarah_connor@...
2026-09-12 23:28:09,master_csv_sample.log,3,Log Level,WARNING,[2026-09-12 23:28:09] [WARNING] User sarah_connor@techcorp.i...
2026-09-12 23:28:09,master_csv_sample.log,3,Phone Number,1-534-726-6067,... 198.51.100.42. Audit Phone: +1-534-726-6067
2026-09-12 23:28:09,master_csv_sample.log,4,Email,contact@freelancer-portal.de,...] Payment completed for user 'contact@freelancer-portal.de' with Transaction ID: TXN-575...
2026-09-12 23:28:09,master_csv_sample.log,4,Transaction ID,TXN-575619-67,...rtal.de' with Transaction ID: TXN-575619-67 (Amount: $3228.72) via https:...
2026-09-12 23:28:09,master_csv_sample.log,4,IPv4 Address,10.0.4.52,...6-09-12 23:28:09] [WARN] [IP: 10.0.4.52] Payment completed for user '...
2026-09-12 23:28:09,master_csv_sample.log,4,Timestamp / Date,2026-09-12 23:28:09,[2026-09-12 23:28:09] [WARN] [IP: 10.0.4.52] Payme...
2026-09-12 23:28:09,master_csv_sample.log,4,Log Level,WARN,[2026-09-12 23:28:09] [WARN] [IP: 10.0.4.52] Payment comp...
2026-09-12 23:28:09,master_csv_sample.log,4,URL / Endpoint,https://gateway.payment.io/api/checkout,...619-67 (Amount: $3228.72) via https://gateway.payment.io/api/checkout
2026-09-12 23:28:09,master_csv_sample.log,5,Email,billing@globalpay-gateway.io,"...712-79, Total=$4215.68, Buyer=billing@globalpay-gateway.io, SourceIP=192.168.1.105"
2026-09-12 23:28:09,master_csv_sample.log,5,Transaction ID,ORD-781712-79,"...] Order checkout verified: ID=ORD-781712-79, Total=$4215.68, Buyer=billin..."
2026-09-12 23:28:09,master_csv_sample.log,5,IPv4 Address,192.168.1.105,"...lobalpay-gateway.io, SourceIP=192.168.1.105"
2026-09-12 23:28:09,master_csv_sample.log,5,Timestamp / Date,2026-09-12 23:28:09,[2026-09-12 23:28:09] [INFO] Order checkout verifi...
2026-09-12 23:28:09,master_csv_sample.log,5,Log Level,INFO,[2026-09-12 23:28:09] [INFO] Order checkout verified: ID=...
2026-09-12 23:28:09,master_csv_sample.log,6,Email,alex.smith@enterprise.co.uk,...6-09-12 23:28:09] [INFO] User alex.smith@enterprise.co.uk requested password reset from...
2026-09-12 23:28:09,master_csv_sample.log,6,IPv4 Address,127.0.0.1,...requested password reset from 127.0.0.1. Audit Phone: +1-627-711-7847
2026-09-12 23:28:09,master_csv_sample.log,6,Timestamp / Date,2026-09-12 23:28:09,[2026-09-12 23:28:09] [INFO] User alex.smith@enter...
2026-09-12 23:28:09,master_csv_sample.log,6,Log Level,INFO,[2026-09-12 23:28:09] [INFO] User alex.smith@enterprise.c...
2026-09-12 23:28:09,master_csv_sample.log,6,Phone Number,1-627-711-7847,...from 127.0.0.1. Audit Phone: +1-627-711-7847
2026-09-12 23:28:09,master_csv_sample.log,7,Email,accounting@fintech-solutions.org,...6-09-12 23:28:09] [INFO] User accounting@fintech-solutions.org requested password reset from...
2026-09-12 23:28:09,master_csv_sample.log,7,IPv4 Address,192.168.1.105,...requested password reset from 192.168.1.105. Audit Phone: +1-306-308-4495
2026-09-12 23:28:09,master_csv_sample.log,7,Timestamp / Date,2026-09-12 23:28:09,[2026-09-12 23:28:09] [INFO] User accounting@finte...
2026-09-12 23:28:09,master_csv_sample.log,7,Log Level,INFO,[2026-09-12 23:28:09] [INFO] User accounting@fintech-solu...
2026-09-12 23:28:09,master_csv_sample.log,7,Phone Number,1-306-308-4495,... 192.168.1.105. Audit Phone: +1-306-308-4495
2026-09-12 23:28:09,master_csv_sample.log,8,Email,accounting@fintech-solutions.org,...-09-12 23:28:09] [DEBUG] User accounting@fintech-solutions.org requested password reset from...
2026-09-12 23:28:09,master_csv_sample.log,8,IPv4 Address,172.16.254.1,...requested password reset from 172.16.254.1. Audit Phone: +1-639-437-9933
2026-09-12 23:28:09,master_csv_sample.log,8,Timestamp / Date,2026-09-12 23:28:09,[2026-09-12 23:28:09] [DEBUG] User accounting@fint...
2026-09-12 23:28:09,master_csv_sample.log,8,Log Level,DEBUG,[2026-09-12 23:28:09] [DEBUG] User accounting@fintech-solu...
